ID;Name;FullName;Age;Height;Weight;Nationality;Overall;Potential;Growth;TotalStats;BaseStats;BestPosition;Club;ValueEUR;WageEUR;ReleaseClause;ContractUntil;ClubJoined;PreferredFoot
165153;K. Benzema;Karim Benzema;34;185;81;France;91;91;0;2147;455;CF;Real Madrid CF;64000000;450000;131199999;2023;2009;Right
158023;L. Messi;Lionel Messi;35;169;67;Argentina;91;91;0;2190;452;CAM;Paris Saint-Germain;54000000;195000;99900000;2023;2021;Left
231747;K. Mbapp�;Kylian Mbapp�;23;182;73;France;91;95;4;2177;470;ST;Paris Saint-Germain;190500000;230000;366700000;2025;2018;Right
192985;K. De Bruyne;Kevin De Bruyne;31;181;70;Belgium;91;91;0;2303;483;CM;Manchester City;107500000;350000;198900000;2025;2015;Right
188545;R. Lewandowski;Robert Lewandowski;33;185;81;Poland;91;91;0;2205;458;ST;FC Barcelona;84000000;420000;172200000;2025;2022;Right
209331;M. Salah;Mohamed Salah;30;175;71;Egypt;90;90;0;2226;471;RW;Liverpool;115500000;270000;213700000;2023;2017;Left
203376;V. van Dijk;Virgil van Dijk;30;193;92;Netherlands;90;90;0;2117;460;CB;Liverpool;98000000;230000;181300000;2025;2018;Right
192119;T. Courtois;Thibaut Courtois;30;199;96;Belgium;90;91;1;1334;475;GK;Real Madrid CF;90000000;250000;191300000;2026;2018;Left
167495;M. Neuer;Manuel Neuer;36;193;93;Germany;90;90;0;1535;502;GK;FC Bayern M�nchen;13500000;72000;22300000;2024;2011;Right
20801;Cristiano Ronaldo;C. Ronaldo dos Santos Aveiro;37;187;83;Portugal;90;90;0;2159;445;ST;Manchester United;41000000;220000;77900000;2023;2021;Right
202126;H. Kane;Harry Kane;28;188;89;England;89;89;0;2193;453;ST;Tottenham Hotspur;105500000;240000;200500000;2024;2010;Right
200104;H. Son;Heung Min Son;29;183;78;Korea Republic;89;89;0;2141;456;LW;Tottenham Hotspur;101000000;240000;191900000;2025;2015;Right
200145;Casemiro;Carlos Henrique Venancio Casimiro;30;185;84;Brazil;89;89;0;2209;459;CDM;Real Madrid CF;86000000;300000;176300000;2025;2013;Right
200389;J. Oblak;Jan Oblak;29;188;87;Slovenia;89;91;2;1402;481;GK;Atl�tico de Madrid;85500000;100000;181700000;2023;2014;Right
210257;Ederson;Ederson Santana de Moraes;28;188;86;Brazil;89;91;2;1583;501;GK;Manchester City;88000000;210000;169400000;2026;2017;Left
208722;S. Man�;Sadio Man�;30;174;69;Senegal;89;89;0;2188;462;LM;FC Bayern M�nchen;99500000;145000;164200000;2025;2022;Right
212622;J. Kimmich;Joshua Kimmich;27;177;75;Germany;89;90;1;2283;473;CDM;FC Bayern M�nchen;105500000;130000;182000000;2025;2015;Right
212831;Alisson;Alisson Ramses Becker;29;191;91;Brazil;89;90;1;1437;488;GK;Liverpool;79000000;190000;152100000;2027;2018;Right
190871;Neymar Jr;Neymar da Silva Santos Jr.;30;175;68;Brazil;89;89;0;2157;447;LW;Paris Saint-Germain;99500000;200000;184100000;2025;2017;Right
215914;N. Kant�;N'Golo Kant�;31;168;70;France;89;89;0;2154;461;CDM;Chelsea;72000000;220000;133199999;2023;2016;Right
239818;R�ben Dias;R�ben Santos Gato Alves Dias;25;187;82;Portugal;88;91;3;1894;411;CB;Manchester City;107500000;230000;206900000;2027;2020;Right
177003;L. Modri?;Luka Modri?;36;172;66;Croatia;88;88;0;2257;464;CM;Real Madrid CF;29000000;230000;59500000;2023;2012;Right
182521;T. Kroos;Toni Kroos;32;183;76;Germany;88;88;0;2147;444;CM;Real Madrid CF;72000000;310000;147600000;2023;2014;Right
192448;M. ter Stegen;Marc-Andr� ter Stegen,
193041;K. Navas;Keylor Navas;35;185;80;Cos,
207865;Marquinhos;Marcos Ao�s Corr�a;28;183;75;Brazil;88;90;2;2082;452;CB;Paris Saint-Germain;92000000;170000;177100000;2024;2013;Right
210514;Jo�o Cancelo;Jo�o Pedro Cavaco Cancelo;28;182;74;Portugal;88;88;0;2262;482;LB;Manchester City;82500000;250000;152600000;2027;2019;Right
218667;Bernardo Silva;Bernardo Mota Carvalho e Silva;27;173;64;Portugal;88;88;0;2185;460;CAM;Manchester City;97500000;260000;180400000;2025;2017;Left
230621;G. Donnarumma;Gianluigi Donnarumma;23;196;90;Italy;88;92;4;1375;479;GK;Paris Saint-Germain;103500000;110000;199200000;2026;2021;Right
239085;E. Haaland;Erling Haaland;21;195;94;Norway;88;94;6;2120;460;ST;Manchester City;148000000;220000;303400000;2027;2022;Left
205452;A. R�diger;Antonio R�diger;29;190;85;Germany;87;88;1;2011;443;CB;Real Madrid CF;73500000;250000;156200000;2026;2022;Right
167948;H. Lloris;Hugo Lloris;35;188;82;France;87;87;0;1399;479;GK;Tottenham Hotspur;9000000;80000;17100000;2024;2012;Left
189596;T. M�ller;Thomas M�ller;32;185;76;Germany;87;87;0;2140;442;CAM;FC Bayern M�nchen;63000000;115000;104000000;2024;2008;Right
193080;De Gea;David De Gea Quintana;31;192;76;Spain;87;87;0;1415;468;GK;Manchester United;42000000;150000;79800000;2023;2011;Right
199556;M. Verratti;Marco Verratti;29;165;60;Italy;87;87;0;2189;444;CM;Paris Saint-Germain;77500000;155000;143400000;2024;2012;Right
201024;K. Koulibaly;Kalidou Koulibaly;31;187;89;Senegal;87;87;0;1789;415;CB;Chelsea;54500000;175000;100800000;2026;2022;Right
209658;L. Goretzka;Leon Goretzka;27;189;82;Germany;87;88;1;2312;492;CM;FC Bayern M�nchen;91000000;115000;157000000;2026;2018;Right
215698;M. Maignan;Mike Maignan;26;191;89;France;87;90;3;1496;478;GK;AC Milan;80000000;90000;142000000;2026;2021;Right
209499;Fabinho;F�bio Henrique Tavares;28;188;78;Brazil;87;88;1;2165;459;CDM;Liverpool;77000000;185000;148200000;2026;2018;Right
